brokerageSlabCode, clientID, brokerageType, slabType, segment, TradingAmount,tradePrice, quantity, brokerageOfferper, brokerageOfferAmt, perAmount, amtAmount
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,700.6,350.3,2,0.01,0.0,0.07006,0.0
B101,122112,R,T,CASH,350.3,350.3,1,0.01,0.0,0.03503,0.0
B101,124059,R,T,CASH,84800.0,848.0,100,0.01,0.0,8.48,0.0
B101,124059,R,T,CASH,84800.0,848.0,100,0.01,0.0,8.48,0.0
B101,124059,R,T,CASH,11890.0,237.8,50,0.01,0.0,1.189,0.0
B101,124059,R,T,CASH,11890.0,237.8,50,0.01,0.0,1.189,0.0
B101,124059,R,T,CASH,26580.0,531.6,50,0.01,0.0,2.658,0.0
B101,124059,R,T,CASH,536.85,536.85,1,0.01,0.0,0.053685000000000004,0.0
B101,124059,R,T,CASH,26305.65,536.85,49,0.01,0.0,2.6305650000000003,0.0
B101,124059,R,T,CASH,22961.0,1148.05,20,0.01,0.0,2.2961,0.0
B101,124059,R,T,CASH,56852.5,1137.05,50,0.01,0.0,5.68525,0.0
B101,124059,R,T,CASH,5825.25,1165.05,5,0.01,0.0,0.582525,0.0
B101,124059,R,T,CASH,5825.25,1165.05,5,0.01,0.0,0.582525,0.0
B101,124059,R,T,CASH,5825.25,1165.05,5,0.01,0.0,0.582525,0.0
B101,124059,R,T,CASH,5825.25,1165.05,5,0.01,0.0,0.582525,0.0
B101,124059,R,T,CASH,10152.45,1128.05,9,0.01,0.0,1.015245,0.0
B101,124059,R,T,CASH,46248.0,1128.0,41,0.01,0.0,4.6248000000000005,0.0
B101,124059,R,T,CASH,26181.0,1309.05,20,0.01,0.0,2.6181,0.0
B101,124059,R,T,CASH,26197.0,1309.85,20,0.01,0.0,2.6197000000000004,0.0
B101,124059,R,T,CASH,41301.25,1652.05,25,0.01,0.0,4.130125,0.0
B101,124059,R,T,CASH,1632.05,1632.05,1,0.01,0.0,0.163205,0.0
B101,124059,R,T,CASH,1632.05,1632.05,1,0.01,0.0,0.163205,0.0
B101,124059,R,T,CASH,1632.05,1632.05,1,0.01,0.0,0.163205,0.0
B101,124059,R,T,CASH,1632.05,1632.05,1,0.01,0.0,0.163205,0.0
B101,124059,R,T,CASH,6528.2,1632.05,4,0.01,0.0,0.65282,0.0
B101,124059,R,T,CASH,3264.1,1632.05,2,0.01,0.0,0.32641,0.0
B101,124059,R,T,CASH,24610.5,1640.7,15,0.01,0.0,2.46105,0.0
B101,121653,R,T,CASH,31835.0,1273.4,25,0.01,0.0,3.1835000000000004,0.0
